x,CDF
5.00e-03,1.3082872432e-07
1.00e-02,7.8315110805e-07
2.00e-02,4.1749276893e-06
5.00e-02,3.1958039245e-05
6.00e-02,4.6781564070e-05
7.00e-02,6.4168031630e-05
8.00e-02,8.3989171851e-05
9.00e-02,1.0612451153e-04
1.00e-01,1.3046190884e-04
2.00e-01,4.7535841006e-04
3.00e-01,9.6113393988e-04
4.00e-01,1.5474806713e-03
5.00e-01,2.2096256790e-03
6.00e-01,2.9309062572e-03
7.00e-01,3.6994315067e-03
8.00e-01,4.5063533379e-03
9.00e-01,5.3448789535e-03
1.00e+00,6.2096653258e-03
1.20e+00,8.0016731475e-03
1.50e+00,1.0801758838e-02
2.00e+00,1.5642590938e-02
3.00e+00,2.5546737362e-02
4.00e+00,3.5392615281e-02
5.00e+00,4.5011059536e-02
6.00e+00,5.4343772851e-02
7.00e+00,6.3374920221e-02
8.00e+00,7.2106674082e-02
9.00e+00,8.0549082505e-02
1.00e+01,8.8715475258e-02
2.00e+01,1.5813947239e-01
5.00e+01,2.9322469419e-01
1.00e+02,4.2175143253e-01
2.00e+02,5.5928578941e-01
5.00e+02,7.2817542419e-01
1.00e+03,8.2992720836e-01
2.00e+03,9.0327681935e-01
5.00e+03,9.6067697419e-01
1.00e+04,9.8236175176e-01
