x,v
-5.0000e+01,3.0000e-01
-4.0000e+01,1.3200e+01
-3.0000e+01,7.8800e+01
-2.0000e+01,1.2700e+02
-1.0000e+01,1.4300e+02
0.0000e+00,1.4100e+02
1.0000e+01,1.4900e+02
2.0000e+01,1.3900e+02
3.0000e+01,7.1300e+01
4.0000e+01,1.8900e+01
5.0000e+01,7.4000e+00
