x,v
-5.0000e+01,3.1000e+00
-4.0000e+01,3.4400e+01
-3.0000e+01,1.1000e+02
-2.0000e+01,1.6100e+02
-1.0000e+01,1.7400e+02
0.0000e+00,1.7500e+02
1.0000e+01,1.8100e+02
2.0000e+01,1.6700e+02
3.0000e+01,7.2300e+01
4.0000e+01,1.5900e+01
5.0000e+01,5.1000e+00
