x,CDF
5.00e-03,4.0346216916e-03
1.00e-02,1.0651099342e-02
2.00e-02,2.5231899545e-02
5.00e-02,6.7084016671e-02
6.00e-02,7.9757388091e-02
7.00e-02,9.1820101300e-02
8.00e-02,1.0331897188e-01
9.00e-02,1.1430004505e-01
1.00e-01,1.2480595124e-01
2.00e-01,2.1049093905e-01
3.00e-01,2.7359159441e-01
4.00e-01,3.2342400403e-01
5.00e-01,3.6445584474e-01
6.00e-01,3.9920213821e-01
7.00e-01,4.2922897605e-01
8.00e-01,4.5558147601e-01
9.00e-01,4.7899333458e-01
1.00e+00,5.0000000000e-01
1.20e+00,5.3631758028e-01
1.50e+00,5.8032796148e-01
2.00e+00,6.3554415526e-01
3.00e+00,7.0860231428e-01
4.00e+00,7.5589140421e-01
5.00e+00,7.8950906095e-01
6.00e+00,8.1484150066e-01
7.00e+00,8.3471218462e-01
8.00e+00,8.5076517615e-01
9.00e+00,8.6403139236e-01
1.00e+01,8.7519404876e-01
2.00e+01,9.3291598333e-01
5.00e+01,9.7476810046e-01
1.00e+02,9.8934890066e-01
2.00e+02,9.9596537831e-01
5.00e+02,9.9905598948e-01
1.00e+03,9.9972370598e-01
2.00e+03,9.9992778358e-01
5.00e+03,9.9998971428e-01
1.00e+04,9.9999793936e-01
