x,v
-5.0000e+01,7.0000e-01
-4.0000e+01,3.8300e+01
-3.0000e+01,8.1400e+01
-2.0000e+01,2.0600e+02
-1.0000e+01,2.2100e+02
0.0000e+00,2.2000e+02
1.0000e+01,2.3900e+02
2.0000e+01,2.0800e+02
3.0000e+01,9.6800e+01
5.0000e+01,3.1300e+01
