-5000,27.45
0,23.77
5000,20.48	
10000,17.56
15000,14.96
20000,12.67
25000,10.66
30000,8.91
35000,7.38
40000,5.87
45000,4.62
50000,3.64
60000,2.26
70000,1.39
80000,0.86
90000,0.56
100000,0.33
150000,0.037
200000,0.0053
250000,0.00065
