Extensometer Strain (1e-6),Engineering Stress (MPa)
2575,169.85323
2589,170.70511
2600,171.54016
2611,172.12329
2624,173.22147
2633,173.67192
2644,174.58661
2657,175.39088
2664,175.93918
2682,177.0024
2686,177.41121
2700,178.34543
2711,179.14409
2718,179.62173
2735,180.72054
2742,181.18617
2757,182.10664
2768,182.94019
2774,183.38161
2791,184.51988
2799,184.90851
2814,185.81509
2825,186.63686
2832,187.08113
2846,188.12186
2853,188.61098
2866,189.46402
2878,190.21468
2885,190.76239
2898,191.71201
2909,192.35803
2923,193.09886
2932,193.89056
2942,194.49551
2957,195.30362
2967,196.01329
3031,196.70026
3059,197.46349
3072,198.09999
3084,198.76611
3095,199.57295
3097,200.12628
3117,200.85384
3124,201.66068
3130,202.15451
3146,203.08188
3155,203.58109
3165,204.3166
3179,205.05421
3185,205.44844
3201,206.42723
3205,206.7429
3217,207.424
3230,208.16022
3235,208.47736
3248,209.38948
3253,209.65842
3267,210.36656
3279,211.08763
3284,211.38934
3300,212.33885
3306,212.59183
3320,213.31163
3328,213.97055
3333,214.283
3354,215.29822
3359,215.51602
3370,216.24913
3382,216.88367
3392,217.237
3405,218.08778
3416,218.47394
3427,219.13873
3441,219.80058
3450,220.25278
3464,221.00549
3474,221.42455
3487,222.06274
3498,222.62775
3510,223.13234
3522,223.77766
3537,224.39151
3551,224.97493
3564,225.60547
3576,226.196
3589,226.72029
3606,227.47125
3620,227.97714
3633,228.63248
3648,229.28665
3661,229.66992
3682,230.52206
3692,230.89149
3707,231.53329
3726,232.17133
3735,232.44624
3755,233.29738
3766,233.54268
3783,234.18095
3801,234.7888
3812,235.05777
3831,235.91347
3845,236.14494
3863,236.80228
3882,237.42451
3895,237.64539
3917,238.52657
3930,238.7074
3951,239.37332
3968,239.93378
3983,240.13783
4006,240.91972
4019,241.14502
4040,241.72054
4059,242.22681
4075,242.52229
4095,243.20503
4113,243.47185
4134,244.02219
4154,244.46965
4171,244.76091
4195,245.32321
4213,245.72646
4234,246.1438
4255,246.51645
4273,246.87338
4296,247.25191
4317,247.72244
4340,248.00194
4361,248.40802
4383,248.85606
4404,249.08748
4428,249.66423
4451,249.88158
4471,250.21793
4499,250.7177
4518,250.79466
4547,251.46463
4568,251.48933
4590,251.85649
4617,252.36263
4635,252.35049
4665,252.98758
4686,253.03528
4708,253.4016
4736,253.86285
4755,253.84587
4790,254.49706
4815,254.48407
4840,254.82108
4869,255.26785
4891,255.21254
4923,255.82825
4946,255.78465
4971,256.13904
5002,256.45923
5022,256.46472
5053,256.9715
5076,257.03903
5102,257.32321
5132,257.65509
5158,257.69653
5187,258.10974
5213,258.25177
5240,258.45792
5270,258.72055
5296,258.86481
5324,259.05295
5355,259.3219
5382,259.4296
5411,259.62149
5443,259.88712
5468,259.94193
5498,260.2926
5526,260.36523
5553,260.49924
5589,260.90408
5613,260.7941
5645,261.21017
5674,261.19257
5699,261.38974
5736,261.74643
5760,261.56219
5794,262.05704
5822,261.95197
5863,262.11273
5908,262.49088
5931,262.32321
5967,262.75562
5998,262.72873
6036,262.89362
6074,263.25583
6094,263.00677
6130,263.48294
6162,263.42609
6193,263.58682
6225,263.83591
6254,263.66556
6289,264.08087
6319,264.01016
6348,264.16211
6385,264.40247
6418,264.31888
6452,264.59131
6483,264.66965
6513,264.77896
6546,264.89972
6577,264.94086
6609,265.1243
6644,265.25549
6674,265.33286
6706,265.39456
6739,265.54251
6772,265.54416
6804,265.70026
6836,265.77478
6867,265.8504
6904,266.04913
6934,266.00742
6970,266.25253
7002,266.25662
7034,266.28171
7068,266.5994
7099,266.4205
7136,266.75281
7168,266.63547
7202,266.70502
7238,267.01236
7265,266.71014
7303,267.07654
7336,267.04239
7365,267.00027
7405,267.41983
7436,267.21268
7475,267.54965
7507,267.42123
7539,267.48157
7577,267.78467
7605,267.51123
7644,267.91156
7677,267.80051
7708,267.83151
7748,268.06375
7777,267.85104
7815,268.19919
7847,268.15448
7881,268.17651
7920,268.39832
7951,268.30026
7987,268.46692
8021,268.51718
8057,268.56543
8092,268.65027
8127,268.69391
8164,268.73785
8196,268.82114
