True Stress (Mpa),True Strain (microstrain)
281.4002688,23650.11816
281.450469,23720.43286
281.5128168,23785.86015
281.477268,23854.21245
281.6530064,23922.56008
281.874628,23994.80821
281.8833787,24065.09867
281.8433007,24137.3365
281.9290553,24208.59303
282.1276636,24281.79651
282.12261,24345.23519
282.019559,24409.64573
282.1752609,24479.90704
282.4447157,24554.06641
282.507913,24624.31758
282.4444514,24690.66137
282.450485,24759.9274
282.5855112,24828.21315
282.7354576,24898.44506
282.6586799,24960.86929
282.8341528,25034.993
282.980629,25109.11121
283.0126626,25177.37312
283.0779973,25246.60545
283.1013504,25313.88298
283.1719891,25381.15598
283.1668934,25446.47471
283.2471597,25517.63802
283.518532,25589.771
283.6025541,25659.94945
283.5328808,25730.12297
283.538363,25795.41891
283.6519817,25864.60846
283.8377604,25933.79323
283.7460618,25999.07587
283.8502356,26069.2256
283.9794049,26141.31881
284.1954679,26212.43269
284.1446567,26279.64527
284.1453852,26349.77532
284.180807,26416.97867
284.3290493,26485.15137
284.3778017,26553.31943
284.4437055,26631.22008
284.5895007,26713.00924
284.694365,26784.08248
284.7320513,26852.23016
284.7376171,26919.39975
284.8066097,26988.51158
284.8359405,27054.69872
284.9034434,27125.74768
285.087685,27196.79159
285.2391574,27264.91115
285.2405609,27331.07999
285.1756089,27399.1904
285.2400205,27468.26908
285.4571459,27535.39731
285.4798333,27601.54826
285.5002395,27671.58567
285.5655336,27739.6729
285.816713,27811.64578
285.9264537,27879.72347
285.7462033,27944.87921
285.7805662,28012.94783
285.9575202,28082.95644
286.1012015,28151.9879
286.1316064,28219.07025
286.1671984,28288.09232
286.3124586,28357.10962
286.3904505,28426.12217
286.3283017,28492.21422
286.446902,28559.27375
286.515474,28627.30057
286.5784047,28698.23789
286.6634567,28766.25525
286.8225938,28835.23956
286.9591478,28906.16213
286.8831948,28972.22247
286.7932284,29038.27844
287.0136771,29110.15793
287.1946042,29179.11852
287.10924,29239.33374
287.1985879,29310.22766
287.3431138,29382.0876
287.5209826,29452.00042
287.40469,29516.08288
287.3841722,29580.16124
287.554741,29653.94335
287.7257896,29722.86645
287.7566892,29786.93156
287.8141701,29857.78667
287.9490237,29925.72521
287.9770356,29993.65913
287.9615904,30060.61806
288.0316636,30131.45378
288.1755106,30196.46297
288.2026511,30266.31888
288.1986778,30332.28943
288.4276769,30405.04602
288.6042453,30473.91738
288.4767011,30538.90431
288.4029305,30604.85688
288.5910734,30673.71448
288.820459,30743.53706
288.8202343,30812.38511
288.696199,30879.28924
288.8105966,30950.06699
289.0163113,31023.7481
288.9759451,31089.6687
288.9097948,31158.49293
289.0112728,31231.18943
289.1961164,31300.9731
289.2779286,31369.78279
289.2994102,31437.61868
289.4577387,31512.23286
289.4567754,31581.99692
289.4049237,31651.75612
289.53736,31723.448
289.7042461,31793.19732
289.7364567,31861.97315
289.746707,31929.77567
289.8569938,32001.44762
290.1461555,32076.01974
290.065466,32146.71285
289.9199191,32213.52776
290.0483121,32285.17938
290.2700934,32356.82587
290.4146497,32424.59485
290.3376678,32491.3912
290.4124394,32564.95883
290.5948299,32636.58528
290.6410613,32708.20659
290.5533728,32773.04849
290.6409663,32843.69234
290.8583435,32915.29882
290.9749504,32987.86773
290.9711772,33052.6915
291.059968,33126.21785
291.1201158,33196.83676
291.0635612,33263.58155
291.1161469,33331.28911
291.2987811,33399.95923
291.466209,33469.59173
291.3759666,33574.03138
291.5233358,33662.02299
291.660159,33736.47138
291.7436911,33805.11369
291.603001,33868.91781
291.645079,33936.5844
291.8747967,34009.07923
292.109981,34079.63582
292.0358177,34146.32172
292.0740406,34215.90226
292.1034695,34285.47797
292.2964975,34356.01506
292.1668476,34418.81787
292.2275215,34485.48116
292.3880654,34553.10603
292.5150784,34624.59022
292.5776911,34693.1716
292.6494209,34761.74827
292.7228983,34827.42292
292.695958,34895.99039
292.7371051,34962.62187
292.8662015,35032.14565
293.0606193,35099.73357
293.0428267,35167.31692
293.0760414,35236.82647
293.1327257,35304.40056
293.2746228,35373.90057
293.2786975,35437.60468
293.2138393,35502.26984
293.3135124,35570.79105
293.5813849,35639.30757
293.6811674,35708.78431
293.575652,35774.39681
293.6387778,35842.89937
293.7605306,35909.4678
293.8227668,35976.99645
293.7887059,36040.66215
293.9135401,36109.14648
294.0585523,36179.55505
294.1472618,36243.20786
294.1601929,36313.607
294.2057018,36390.75105
294.2525864,36452.462
294.2338906,36518.98986
294.3332028,36586.47737
294.5395514,36654.92433
294.6203772,36720.47478
294.6276271,36786.98481
294.5662723,36850.59896
294.7900581,36920.95535
294.8678257,36985.52467
294.751335,37050.08982
294.800123,37115.61437
295.060999,37186.91562
295.2674971,37255.3215
295.1977784,37320.8326
295.0710344,37383.44949
295.2153032,37450.87869
295.3701786,37518.30334
295.3237772,37580.90787
295.3996056,37646.39765
295.6473485,37717.66106
295.6724703,37785.06772
295.6692165,37849.58127
295.6838706,37919.86742
295.8338224,37984.37228
295.7853567,38049.83564
295.7868471,38119.14511
296.0422365,38203.85017
296.2491081,38301.05963
296.1306533,38372.27641
296.1183369,38437.71438
296.2010279,38506.03475
296.4152555,38572.42614
296.3462501,38635.92681
296.352514,38702.30957
296.5176404,38771.57384
296.7399386,38841.79522
296.7475224,38906.24064
296.6292429,38972.60545
296.7085357,39038.00416
296.8673076,39106.28353
296.9062204,39169.75032
296.9246455,39237.05917
297.0796074,39305.32496
297.2055146,39375.50886
297.1585,39439.91989
297.1712146,39507.21057
297.2739215,39570.65192
297.3127302,39635.05038
297.3301072,39699.4447
297.4724548,39767.67892
297.7236696,39839.75228
297.7117986,39905.0943
297.5767479,39968.51041
297.6372774,40034.80477
297.8580611,40103.01612
297.8767388,40166.41968
297.8370398,40228.85865
297.9419693,40298.01727
298.2088166,40374.85457
298.2794191,40444.00309
298.116117,40506.42473
298.176251,40573.64368
298.2899483,40639.89794
298.3797545,40704.22759
298.4455089,40772.39329
298.6327817,40838.63438
298.5807336,40902.95124
298.6547371,40971.1034
298.5955936,41035.41175
298.7564761,41104.51461
298.822578,41168.81437
298.8099294,41232.15039
298.9292419,41302.1992
299.1441401,41368.40521
299.2266145,41437.48507
299.1022881,41502.72277
299.058237,41566.99694
299.2169987,41633.18542
299.3863619,41701.28783
299.3289924,41764.59014
299.4423365,41838.43777
299.501506,41938.17136
299.7081593,42006.25301
299.6639226,42069.53602
299.5909944,42132.81502
299.6960091,42199.92474
299.8735381,42270.8644
299.9673111,42334.13067
299.9968817,42403.14384
300.068787,42469.27701
300.1393962,42537.3225
300.1698365,42605.36337
300.1378941,42668.60848
300.2418322,42735.68225
300.3027516,42799.87722
300.3990924,42870.77434
300.4978162,42938.79252
300.607721,43006.80608
300.6012267,43070.98365
300.562676,43135.1571
300.5591786,43204.11502
300.8312986,43271.15288
300.9531037,43341.05901
300.878445,43404.25761
300.9284826,43471.28206
301.1276036,43541.1742
301.1495853,43607.23214
301.0680003,43682.85834
301.0501717,43748.90693
301.2402009,43816.86541
301.4052264,43882.90515
301.3919812,43949.89753
301.5040815,44018.79929
301.5562322,44086.73944
301.5261049,44151.80454
301.5320058,44217.82217
301.7190517,44283.83543
301.8249757,44350.80095
301.8443257,44418.71855
301.8326244,44486.63153
302.0585502,44555.49632
302.095005,44621.4873
301.922865,44682.69243
301.9657441,44750.58748
302.1630718,44819.4341
302.3985196,44887.31988
302.3227869,44952.33292
302.3174708,45020.20967
302.4667184,45089.99364
302.579361,45155.94936
302.4722214,45220.94494
302.4765541,45287.84774
302.6984864,45356.65738
302.8758666,45425.46228
302.8470435,45492.35141
302.8938102,45562.10244
302.9722887,45628.02702
302.9215255,45692.99193
302.8838689,45760.81843
303.0666075,45847.74426
303.2437343,45913.65001
303.2051153,45982.41661
303.2632182,46052.13347
303.3845703,46118.02576
303.5551087,46185.82344
303.41473,46248.84251
303.324323,46314.72184
303.5723715,46383.46086
303.8393876,46453.14976
303.8109767,46519.97018
303.7404177,46587.74061
303.7429731,46651.68878
303.8999101,46722.31335
303.9318681,46788.1615
303.855541,46851.14262
304.0666604,46918.89062
304.1718177,46987.58812
304.2393247,47053.4188
304.3171189,47123.06104
304.3583828,47190.79062
304.3091974,47257.56176
304.3113212,47322.42089
304.4229411,47390.13697
304.6965824,47457.84846
304.6357554,47524.60178
304.7487836,47596.11825
304.6366024,47660.95542
304.8204402,47732.46214
304.8447846,47794.4305
304.7153191,47857.34828
304.8647231,47926.93455
305.1124041,47998.42225
305.2303925,48075.62323
305.0658501,48147.10031
305.1784036,48219.5252
305.1982357,48286.22769
305.3028467,48353.87853
305.2944168,48417.71387
305.4333432,48486.30849
305.5412704,48556.80361
305.5849507,48623.48361
305.6121268,48691.11164
305.6308127,48774.92596
305.6814206,48837.78208
305.7418079,48904.44335
305.7398193,48971.10018
305.9579722,49041.56114
306.1028866,49110.11298
306.0200558,49175.80409
306.0484329,49242.44283
306.1316832,49311.93279
306.2355818,49379.51428
306.1397695,49442.33241
306.2406296,49509.90509
306.3740288,49579.37647
306.5636903,49647.89145
306.5511548,49721.15923
306.4586425,49789.6645
306.5203617,49856.26235
306.6511837,49925.70967
306.6880509,49990.39598
306.7848569,50058.88281
306.8396406,50126.41385
306.9375393,50193.94032
306.9834786,50262.41321
306.9752521,50327.07775
307.0608431,50395.54153
307.0305283,50460.19746
307.0971035,50523.89848
307.2305491,50593.29945
307.4531705,50664.5968
307.4091623,50730.18587
307.3484407,50794.82017
307.3330306,50877.50796
307.5412822,50953.53668
307.5831266,51019.1068
307.5227377,51086.57302
307.7123381,51156.88508
307.8630993,51228.14227
307.9236434,51291.79439
307.7778406,51356.3924
307.7989966,51424.78574
307.9519917,51492.2246
308.0455618,51557.75941
308.0806545,51625.1893
308.1540569,51693.56427
308.2768349,51762.88411
308.3180504,51830.30017
308.2787403,51895.81284
308.3241926,51962.27057
308.4082028,52028.72389
308.4360945,52094.22356
308.5066448,52164.46481
308.6692527,52231.8538
308.8283202,52298.28921
308.6212245,52364.72021
308.6003103,52431.14679
308.7710951,52497.56896
308.9418174,52563.03792
308.882463,52628.5026
308.9171013,52694.91166
309.1391187,52767.95654
309.2640541,52837.20195
309.1332923,52903.59715
309.0485287,52968.09113
309.2089144,53032.58095
309.3619865,53103.70461
309.4173929,53167.23746
309.4452444,53236.45523
309.5319612,53300.92774
309.5900231,53372.98034
309.482959,53433.65219
309.6075509,53502.85152
309.7419779,53567.30686
309.7090355,53633.65361
309.7961641,53699.99596
309.8995891,53769.17686
310.089199,53840.24815
310.0049307,53903.73422
309.8429912,53966.26881
310.024356,54034.48389
310.2442262,54104.58899
310.214724,54168.05829
310.1967827,54233.41799
310.2872356,54304.45629
310.46686,54373.59539
310.4354526,54437.04761
310.2754624,54498.6019
310.4787688,54567.72758
310.6137524,54633.06115
310.6405483,54700.284
310.6775082,54766.55563
310.8413319,54837.55607
310.8395786,54901.92544
310.7603579,54967.23719
310.8007056,55033.49112
310.9955753,55102.57984
311.002954,55165.0395
310.9695541,55231.28033
311.152523,55300.35538
311.3317924,55370.3718
311.2128044,55435.65296
311.0884757,55498.09182
311.2229299,55564.3106
311.4598807,55633.36265
311.5449521,55701.46412
311.4489981,55765.77791
311.5490446,55835.76174
311.6511269,55909.52319
311.6829919,56001.24458
311.6541529,56074.99382
311.6636954,56140.229
311.8181345,56206.40527
311.9305866,56277.30355
311.9305133,56342.52554
312.0238997,56410.57873
312.0362902,56476.73711
311.9928307,56541.94608
312.0281412,56605.26088
312.1889619,56673.29619
312.3376975,56738.49235
312.2971927,56808.40815
312.3296567,56876.42964
312.4664999,56944.44651
312.5593406,57011.51416
312.4031598,57074.79923
312.4925538,57139.96923
312.5257465,57208.91256
312.7608213,57275.96249
312.7494076,57342.06364
312.7281625,57407.21622
312.8064279,57474.25285
312.8935762,57542.22906
312.8872866,57606.42458
312.9142578,57670.61598
313.0346214,57741.41053
313.1643504,57806.5371
313.2467029,57877.32203
313.2235274,57943.38345
313.2226616,58011.32778
313.2623218,58077.38035
313.2408914,58145.31558
313.3570687,58220.79376
313.5345518,58295.32287
313.543361,58362.29999
313.5537366,58430.21587
313.5937974,58498.12713
313.7629407,58568.86313
313.7360655,58633.93583
313.599533,58699.0043
313.7813443,58768.78317
314.0003166,58842.32859
314.0720106,58914.92582
313.9870643,58981.86146
313.9305341,59048.79261
314.0654856,59115.71929
314.1274182,59179.81388
314.0949241,59243.90436
314.1941849,59313.64521
314.3110546,59379.61182
314.4059471,59446.51636
314.4340261,59516.24309
314.4487766,59584.08064
314.4598998,59648.14522
314.4416791,59714.08976
314.523328,59780.97193
314.7802856,59851.61724
314.8194925,59918.49021
314.7069898,59984.41693
314.7263959,60053.16445
314.8303784,60120.02394
314.9432931,60186.87896
314.7954559,60249.96341
314.8992239,60335.63889
315.1421317,60409.06917
315.2503476,60478.72882
315.170824,60549.32486
315.1466243,60616.15119
315.2141618,60681.09081
315.3274607,60747.90833
315.3315483,60813.7804
315.3555916,60880.58905
315.5324063,60950.21586
315.56286,61016.0746
315.5662492,61084.75123
315.6077154,61152.48247
315.6625799,61220.20912
315.5805125,61283.22842
315.7264148,61350.00572
315.8327335,61418.65943
316.0018681,61489.18915
315.9110247,61554.0721
315.8644288,61622.71179
316.0070037,61688.52626
316.143422,61759.03695
316.0416835,61820.14219
316.0249888,61887.82364
316.2641167,61957.38036
316.403216,62028.81195
316.3382499,62090.84051
316.3537585,62160.38311
316.2776418,62225.22252
316.4449739,62291.93696
316.4528023,62357.70739
316.5413522,62426.29195
316.6641031,62493.93239
316.7096435,62563.44696
316.718097,62630.13883
316.6965462,62695.88703
316.836068,62762.57007
316.7799531,62826.43135
316.7841647,62892.16664
316.9385556,62961.65354
317.1466439,63031.1356
317.1699161,63097.79629
317.0067595,63160.69737
317.0544333,63231.10434
317.2325529,63299.62903
317.2875122,63364.39462
317.2304936,63429.15602
317.3562047,63498.60561
317.4408186,63567.11197
317.5679627,63635.61364
317.4447293,63701.29576
317.4312808,63766.03535
317.5447124,63833.58523
317.661226,63902.06864
317.6810198,63967.73327
317.8039493,64036.2075
317.8458612,64104.67704
317.8150776,64172.20405
317.8318049,64236.91316
317.880054,64303.49352
317.9778764,64371.00711
317.928781,64436.64095
318.0664407,64506.95814
318.1873278,64574.45799
318.2904981,64642.89069
318.112567,64706.63201
318.1404375,64774.11838
318.2833086,64842.53742
318.4214379,64909.07747
318.4129804,64974.67601
318.413183,65044.01835
318.5508066,65110.545
318.6732878,65181.75172
318.6135119,65246.39554
318.5340837,65311.03517
318.615393,65381.29091
318.7439655,65448.73177
318.8130394,65513.35833
318.8816056,65581.72681
318.9200649,65650.09062
318.8861645,65716.57696
318.8684491,65780.24987
318.9749421,65848.60011
319.1151147,65916.00946
319.0736228,65982.47813
319.1693963,66048.94238
319.2496655,66121.01833
319.4175123,66190.28123
319.3523617,66253.92399
319.1929527,66317.5627
319.3243792,66386.812
319.4855745,66454.18508
319.5705626,66522.48927
319.5037181,66588.91764
319.5156835,66658.14814
319.6778005,66724.5675
319.781308,66792.85322
319.6323594,66858.3283
319.6911349,66928.47542
319.8007705,67000.48801
319.9437193,67070.62515
319.9641482,67139.82232
319.978031,67209.94969
320.0605374,67281.94201
320.0059219,67349.25482
320.013662,67416.5631
320.1321678,67486.67107
320.2748244,67553.9701
320.1842678,67620.32998
320.2795172,67688.55457
320.4101116,67755.84001
320.4512541,67823.12093
320.315382,67885.72549
320.3132553,67953.93198
320.5759395,68022.13381
320.719193,68090.33099
320.6146775,68156.65529
320.6118094,68224.8433
320.7589183,68293.96064
320.7575106,68359.33751
320.7532086,68424.71011
320.7221529,68489.14464
320.8359897,68558.24372
320.9947373,68626.40435
320.959912,68691.75949
321.0510703,68760.84457
321.1441664,68829.92488
321.0348984,68899.00041
321.0483296,68970.87124
321.2173387,69042.73691
321.4079075,69109.9313
321.3111105,69176.18802
321.2578507,69245.23964
321.417649,69314.28649
321.5403804,69383.32858
321.4223098,69445.83555
321.3600921,69512.07001
321.5246887,69579.23288
321.7839947,69650.12212
321.7293066,69715.41039
321.6051253,69780.69441
321.7937482,69849.7043
321.8232901,69916.84449
321.7887416,69982.11536
321.8131765,70047.38196
321.93492,70116.37346
322.0264269,70185.36019
322.079838,70255.27432
322.0924641,70321.4552
322.1620598,70396.95197
322.1150882,70478.9667
322.0696774,70544.20089
322.2035399,70611.29447
322.3882025,70682.11059
322.4251788,70749.19491
322.3432913,70813.47984
322.4302,70884.28164
322.5510629,70954.14693
322.5594265,71019.35012
322.3892167,71080.82353
322.5791517,71163.7135
322.7822156,71237.28424
322.8279346,71308.05604
322.760288,71372.30505
322.6893846,71442.13625
322.8186646,71512.89356
322.9015113,71580.85311
322.8388235,71647.87717
322.987642,71715.82754
323.069283,71785.63476
323.0527881,71852.6451
323.157971,71927.09577
323.1728741,71997.81877
323.193129,72064.8149
323.1165445,72131.80654
323.2003174,72198.79369
323.4068135,72267.63692
323.5255921,72337.40563
323.3734401,72403.44885
323.4493056,72474.13817
323.4271819,72542.03242
323.5921564,72609.92207
323.5064361,72675.01739
323.5102869,72740.10848
323.6990809,72811.70379
323.820523,72880.50484
323.8113275,72947.44186
323.7464477,73012.51522
323.7554216,73079.4434
323.9267877,73149.15549
323.9697911,73215.14513
323.9479331,73284.84777
324.0545142,73351.75772
324.062636,73418.66321
324.174119,73488.35166
324.0887111,73555.248
324.1665571,73623.06889
324.1583159,73685.31142
324.2317136,73754.98129
324.313753,73823.71747
324.4876852,73895.23524
324.489787,73962.10437
324.3464272,74028.04039
324.4135798,74098.61497
324.5911525,74163.61346
324.5983557,74228.60773
324.523674,74294.52618
324.5906512,74364.15362
324.8400386,74432.84795
324.9044984,74500.60935
324.6988987,74566.50987
324.7248853,74634.26221
324.8965589,74702.00996
324.9368248,74767.89721
324.9564653,74835.63591
325.0279468,74903.37003
325.0971063,74973.88286
325.158878,75042.53531
325.0262927,75106.54484
325.1923093,75184.46396
325.2037617,75256.81198
325.1392423,75322.66269
325.2609548,75392.21858
325.4652635,75462.69696
325.5614933,75530.38861
325.3801854,75595.29411
