time,temperature,displacement,static_force,position,length,stress,strain,stiffness,relaxation_modulus,creep_compliance,gca_pressure,
0.046333,24.9537,3.9422,0.019335,1.0201,4.8991,0.0048337,0.080533,4904.538,6.0021,166607.1,0,
0.079667,24.9531,7.1846,0.032668,1.0233,4.9024,0.0081671,0.14677,4546.996,5.5646,179707.8,0.06895,
0.113,24.9494,10.555,0.046002,1.0267,4.9057,0.0115,0.21562,4358.295,5.3337,187488.6,0.06895,
0.14633,24.9402,13.9859,0.059335,1.0301,4.9092,0.014834,0.28571,4242.488,5.1919,192606.5,0.20685,
0.17967,24.9198,17.4309,0.072668,1.0336,4.9126,0.018167,0.35608,4168.937,5.1019,196004.6,0.06895,
0.213,24.9066,20.8738,0.086002,1.037,4.9161,0.0215,0.42642,4120.08,5.0421,198328.9,0,
0.24633,24.8996,24.3145,0.099335,1.0405,4.9195,0.024834,0.4967,4085.417,4.9997,200011.6,0.06895,
0.27967,24.8931,27.7467,0.11267,1.0439,4.923,0.028167,0.56682,4060.591,4.9693,201234.4,0.1379,
0.313,24.8884,31.168,0.126,1.0473,4.9264,0.0315,0.63671,4042.66,4.9474,202127,0.06895,
0.34633,24.8829,34.5715,0.13933,1.0507,4.9298,0.034834,0.70624,4030.338,4.9323,202745,0.20685,
0.37967,24.8788,37.9617,0.15267,1.0541,4.9332,0.038167,0.77549,4021.625,4.9216,203184.2,0.06895,
0.413,24.8754,41.345,0.166,1.0575,4.9366,0.0415,0.84461,4015.025,4.9136,203518.2,0.06895,
0.44633,24.8735,44.7228,0.17933,1.0609,4.9399,0.044834,0.91361,4009.908,4.9073,203778,0,
0.47967,24.8746,48.0897,0.19267,1.0643,4.9433,0.048167,0.98239,4006.421,4.903,203955.3,0,
0.513,24.8783,51.4481,0.206,1.0676,4.9467,0.0515,1.051,4004.057,4.9001,204075.7,0.06895,
0.54633,24.8776,54.7996,0.21933,1.071,4.95,0.054834,1.1195,4002.478,4.8982,204156.2,0.06895,
0.57967,24.8771,58.1374,0.23267,1.0743,4.9534,0.058167,1.1876,4002.03,4.8977,204179,0,
0.613,24.8755,61.4599,0.246,1.0777,4.9567,0.0615,1.2555,4002.62,4.8984,204149,0,
0.64633,24.8721,64.7831,0.25933,1.081,4.96,0.064834,1.3234,4003.115,4.899,204123.7,0,
0.67967,24.8727,68.1105,0.27267,1.0843,4.9634,0.068167,1.3914,4003.312,4.8992,204113.7,0.1379,
0.713,24.874,71.4402,0.286,1.0876,4.9667,0.0715,1.4594,4003.366,4.8993,204111,0.06895,
0.74633,24.8742,74.7639,0.29933,1.091,4.97,0.074834,1.5273,4003.734,4.8997,204092.2,0.06895,
0.77967,24.8746,78.0756,0.31267,1.0943,4.9733,0.078167,1.595,4004.69,4.9009,204043.5,0.06895,
0.813,24.876,81.3836,0.326,1.0976,4.9766,0.0815,1.6625,4005.744,4.9022,203989.8,0.06895,
0.84633,24.8771,84.6913,0.33934,1.1009,4.98,0.084834,1.7301,4006.731,4.9034,203939.5,0.20685,
0.87967,24.8779,87.9927,0.35267,1.1042,4.9833,0.088167,1.7975,4007.937,4.9049,203878.2,0.06895,
0.913,24.8791,91.2777,0.366,1.1075,4.9866,0.091501,1.8646,4009.771,4.9071,203784.9,0.06895,
0.94633,24.8782,94.5728,0.37934,1.1108,4.9898,0.094834,1.932,4011.05,4.9087,203719.9,0,
0.97967,24.879,97.8648,0.39267,1.1141,4.9931,0.098167,1.9992,4012.368,4.9103,203653,0.1379,
1.013,24.8803,101.1554,0.406,1.1174,4.9964,0.1015,2.0664,4013.661,4.9119,203587.4,0.1379,
1.0463,24.8816,104.4549,0.41934,1.1207,4.9997,0.10483,2.1338,4014.525,4.913,203543.6,0.1379,
1.0797,24.8843,107.7444,0.43267,1.124,5.003,0.10817,2.201,4015.708,4.9144,203483.6,0.06895,
1.113,24.8859,111.0353,0.446,1.1273,5.0063,0.1115,2.2683,4016.78,4.9157,203429.3,0.06895,
1.1463,24.8872,114.3259,0.45934,1.1306,5.0096,0.11483,2.3355,4017.79,4.9169,203378.1,0.1379,
1.1797,24.8861,117.5995,0.47267,1.1339,5.0129,0.11817,2.4024,4019.326,4.9188,203300.4,0.06895,
1.213,24.8856,120.8727,0.486,1.1371,5.0162,0.1215,2.4692,4020.798,4.9206,203226,0.1379,
1.2463,24.8847,124.1645,0.49934,1.1404,5.0195,0.12483,2.5365,4021.587,4.9216,203186.2,0.06895,
1.2798,24.8849,127.4646,0.51267,1.1437,5.0228,0.12817,2.6039,4022.069,4.9222,203161.8,0.06895,
1.3132,24.8835,130.7626,0.52601,1.147,5.0261,0.1315,2.6713,4022.596,4.9228,203135.2,0,
1.3465,24.8792,134.0567,0.53934,1.1503,5.0294,0.13483,2.7385,4023.214,4.9236,203103.9,0.06895,
