time,temperature,displacement,static_force,position,length,stress,strain,stiffness,relaxation_modulus,creep_compliance,gca_pressure,
0.046333,25.6518,12.2977,0.019335,1.4439,5.323,0.0048337,0.23157,1572.21,2.0874,479070.1,0,
0.079667,25.6413,21.6698,0.032668,1.4533,5.3324,0.008167,0.40804,1507.548,2.0015,499618.6,0,
0.113,25.6314,30.7954,0.046001,1.4624,5.3415,0.0115,0.57988,1493.773,1.9832,504226,0,
0.14633,25.6214,39.9885,0.059336,1.4716,5.3507,0.014834,0.75298,1483.815,1.97,507609.9,0.06895,
0.17967,25.6071,49.3711,0.072668,1.481,5.3601,0.018167,0.92966,1471.872,1.9542,511728.4,0.20685,
0.213,25.5882,58.1659,0.086001,1.4898,5.3689,0.0215,1.0953,1478.555,1.963,509415.8,0.1379,
0.24633,25.5684,66.5908,0.099335,1.4983,5.3773,0.024834,1.2539,1491.719,1.9805,504920.2,0.06895,
0.27967,25.5524,75.3695,0.11267,1.507,5.3861,0.028167,1.4192,1494.874,1.9847,503854.6,0,
0.313,25.5364,84.2813,0.126,1.5159,5.395,0.0315,1.587,1495.009,1.9849,503809,0.1379,
0.34633,25.5195,93.1489,0.13933,1.5248,5.4039,0.034834,1.754,1495.825,1.986,503534,0.06895,
0.37967,25.5008,102.3144,0.15267,1.534,5.413,0.038167,1.9266,1492.146,1.9811,504775.4,0,
0.413,25.4817,111.7289,0.166,1.5434,5.4225,0.0415,2.1039,1485.75,1.9726,506948.6,0,
0.44633,25.461,121.7253,0.17933,1.5534,5.4325,0.044834,2.2921,1473.272,1.956,511242.4,0,
0.47967,25.4442,132.7588,0.19267,1.5644,5.4435,0.048167,2.4998,1451.259,1.9268,518997.1,0.1379,
0.513,25.4308,144.2696,0.206,1.576,5.455,0.0515,2.7166,1427.887,1.8958,527492,0.06895,
0.54633,25.4078,155.7205,0.21933,1.5874,5.4665,0.054834,2.9322,1408.513,1.87,534747.8,0.20685,
0.57967,25.3912,167.4264,0.23267,1.5991,5.4782,0.058167,3.1526,1389.671,1.845,541998.1,0.06895,
0.613,25.3754,179.0895,0.246,1.6108,5.4898,0.0615,3.3723,1373.619,1.8237,548331.8,0,
0.64633,25.3567,191.4777,0.25933,1.6232,5.5022,0.064834,3.6055,1354.383,1.7982,556119.6,0.06895,
0.67967,25.3393,204.1453,0.27267,1.6358,5.5149,0.068167,3.8441,1335.654,1.7733,563917.7,0.1379,
0.713,25.3203,217.2963,0.286,1.649,5.5281,0.0715,4.0917,1316.18,1.7475,572261.5,0.06895,
0.74633,25.3015,231.1515,0.29934,1.6629,5.5419,0.074834,4.3526,1294.974,1.7193,581632.5,0,
0.77967,25.2884,245.434,0.31267,1.6771,5.5562,0.078167,4.6215,1273.943,1.6914,591234.6,0.1379,
0.813,25.2778,259.9161,0.326,1.6916,5.5707,0.081501,4.8942,1254.26,1.6652,600512.9,0.06895,
0.84633,25.2645,276.2114,0.33934,1.7079,5.587,0.084834,5.2011,1228.536,1.6311,613086.9,0.1379,
0.87967,25.2544,296.1289,0.35267,1.7279,5.6069,0.088167,5.5761,1190.933,1.5812,632444.6,0.06895,
0.913,25.2437,317.8639,0.366,1.7496,5.6286,0.091501,5.9854,1151.445,1.5287,654133.5,0.06895,
0.94633,25.235,344.6437,0.37934,1.7764,5.6554,0.094834,6.4896,1100.661,1.4613,684315,0,
0.97967,25.2302,372.968,0.39267,1.8047,5.6838,0.098168,7.023,1052.825,1.3978,715407.4,0.06895,
1.013,25.2257,411.7268,0.406,1.8435,5.7225,0.1015,7.7528,986.0994,1.3092,763816.6,0,
1.0463,25.2237,684.5918,0.41934,2.1163,5.9954,0.10483,12.8908,612.5355,0.81325,1229642,0.06895,
