theta , u , Pterm , Iterm , Dterm(100Hz)
-10.4397 , 89581.82 , 15659.5019 , 77943.9062 , -4021.5969
-10.0009 , 88758.16 , 15001.4218 , 78143.9296 , -4387.1972
-9.5257 , 87870.15 , 14288.5019 , 78334.4453 , -4752.7978
-9.0504 , 87338.24 , 13575.5820 , 78515.4531 , -4752.7978
-8.5751 , 86796.82 , 12862.6630 , 78686.9531 , -4752.7978
-8.0633 , 85824.72 , 12094.9033 , 78848.2109 , -5118.3984
-7.5880 , 85629.16 , 11381.9833 , 78999.9687 , -4752.7978
-7.0761 , 84637.32 , 10614.2236 , 79141.4921 , -5118.3984
-6.5643 , 84000.85 , 9846.4638 , 79272.7812 , -5118.3984
-6.0159 , 82932.96 , 9023.8642 , 79393.0937 , -5483.9990
-5.5041 , 82640.89 , 8256.1035 , 79503.1796 , -5118.3984
-4.9922 , 81972.98 , 7488.3442 , 79603.0312 , -5118.3984
-4.5169 , 81716.00 , 6775.4243 , 79693.3671 , -4752.7978
-4.0417 , 81083.92 , 6062.5048 , 79774.2031 , -4752.7978
-3.6029 , 80863.48 , 5404.4248 , 79846.2578 , -4387.2001
-3.1642 , 80268.69 , 4746.3447 , 79909.5468 , -4387.2001
-2.7255 , 79665.11 , 4088.2636 , 79964.0546 , -4387.2070
-2.3599 , 79895.10 , 3539.8627 , 80011.2500 , -3656.0058
-2.0309 , 79807.78 , 3046.3020 , 80051.8750 , -3290.4052
-1.7384 , 79769.43 , 2607.5825 , 80086.6406 , -2924.7976
-1.4825 , 79780.80 , 2223.7028 , 80116.2890 , -2559.1970
-1.2265 , 79421.44 , 1839.8233 , 80140.8125 , -2559.1970
-1.0072 , 79478.15 , 1510.7839 , 80160.9609 , -2193.5964
-0.8244 , 79586.04 , 1236.5845 , 80177.4453 , -1827.9953
