theta , u , Pterm , Iterm , Dterm(100Hz)
0.9670 , 359 , -3.8681 , 363.0747 , 0.0000
3.1241 , 350 , -12.4963 , 362.9247 , 0.0000
5.2446 , 341 , -20.9782 , 362.6730 , 0.0000
7.2919 , 333 , -29.1677 , 362.3229 , 0.0000
9.3027 , 324 , -37.2109 , 361.8764 , 0.0000
11.3135 , 316 , -45.2541 , 361.3334 , 0.0000
13.2512 , 307 , -53.0048 , 360.6973 , 0.0000
15.1158 , 299 , -60.4630 , 359.9717 , 0.0000
16.9803 , 291 , -67.9213 , 359.1567 , 0.0000
18.7718 , 283 , -75.0870 , 358.2556 , 0.0000
20.5266 , 275 , -82.1065 , 357.2703 , 0.0000
22.2084 , 267 , -88.8336 , 356.2043 , 0.0000
23.8536 , 259 , -95.4144 , 355.0594 , 0.0000
25.4257 , 252 , -101.7027 , 353.8389 , 0.0000
26.9246 , 244 , -107.6986 , 352.5465 , 0.0000
28.3139 , 237 , -113.2557 , 351.1875 , 0.0000
29.6301 , 231 , -118.5203 , 349.7652 , 0.0000
30.8731 , 224 , -123.4925 , 348.2833 , 0.0000
31.9699 , 218 , -127.8797 , 346.7487 , 0.0000
32.9936 , 213 , -131.9744 , 345.1651 , 0.0000
33.8710 , 208 , -135.4842 , 343.5393 , 0.0000
34.6022 , 203 , -138.4090 , 341.8783 , 0.0000
35.1872 , 199 , -140.7488 , 340.1893 , 0.0000
35.6625 , 195 , -142.6499 , 338.4775 , 0.0000
36.0281 , 192 , -144.1123 , 336.7481 , 0.0000
36.2840 , 189 , -145.1360 , 335.0065 , 0.0000
36.4302 , 187 , -145.7210 , 333.2579 , 0.0000
36.4302 , 185 , -145.7210 , 331.5092 , 0.0000
36.3206 , 184 , -145.2823 , 329.7658 , 0.0000
35.9915 , 184 , -143.9661 , 328.0382 , 0.0000
35.5528 , 184 , -142.2112 , 326.3317 , 0.0000
35.0044 , 184 , -140.0176 , 324.6515 , 0.0000
34.3098 , 185 , -137.2390 , 323.0046 , 0.0000
33.4689 , 187 , -133.8755 , 321.3981 , 0.0000
32.4452 , 190 , -129.7808 , 319.8407 , 0.0000
31.2753 , 193 , -125.1011 , 318.3395 , 0.0000
29.9591 , 197 , -119.8365 , 316.9015 , 0.0000
28.4967 , 201 , -113.9869 , 315.5337 , 0.0000
26.9246 , 206 , -107.6986 , 314.2413 , 0.0000
25.2794 , 211 , -101.1177 , 313.0279 , 0.0000
23.5246 , 217 , -94.0982 , 311.8987 , 0.0000
21.6600 , 224 , -86.6400 , 310.8590 , 0.0000
19.7223 , 231 , -78.8893 , 309.9124 , 0.0000
17.6750 , 238 , -70.6998 , 309.0640 , 0.0000
15.5545 , 246 , -62.2179 , 308.3173 , 0.0000
13.3243 , 254 , -53.2973 , 307.6778 , 0.0000
11.0210 , 263 , -44.0841 , 307.1488 , 0.0000
8.6446 , 272 , -34.5785 , 306.7338 , 0.0000
6.1586 , 281 , -24.6342 , 306.4382 , 0.0000
3.5994 , 291 , -14.3974 , 306.2655 , 0.0000
0.9670 , 302 , -3.8682 , 306.2191 , 0.0000
-1.7384 , 313 , 6.9536 , 306.3025 , 0.0000
-4.5535 , 324 , 18.2141 , 306.5211 , 0.0000
-7.3686 , 336 , 29.4746 , 306.8748 , 0.0000
-10.2569 , 348 , 41.0275 , 307.3671 , 0.0000
-13.1817 , 360 , 52.7267 , 307.9998 , 0.0000
-16.1065 , 373 , 64.4259 , 308.7729 , 0.0000
-19.0678 , 385 , 76.2714 , 309.6882 , 0.0000
-21.9926 , 398 , 87.9706 , 310.7438 , 0.0000
-24.8443 , 411 , 99.3773 , 311.9364 , 0.0000
-27.6594 , 423 , 110.6378 , 313.2640 , 0.0000
-30.4014 , 436 , 121.6058 , 314.7233 , 0.0000
-33.0338 , 448 , 132.1350 , 316.3089 , 0.0000
-35.5930 , 460 , 142.3718 , 318.0173 , 0.0000
-37.9694 , 471 , 151.8774 , 319.8399 , 0.0000
-40.1264 , 482 , 160.5056 , 321.7659 , 0.0000
-42.1372 , 492 , 168.5488 , 323.7885 , 0.0000
-43.8921 , 501 , 175.5683 , 325.8953 , 0.0000
-45.4276 , 509 , 181.7104 , 328.0758 , 0.0000
-46.7438 , 517 , 186.9750 , 330.3195 , 0.0000
-47.8040 , 523 , 191.2160 , 332.6141 , 0.0000
-48.6083 , 529 , 194.4333 , 334.9473 , 0.0000
-49.0836 , 533 , 196.3344 , 337.3034 , 0.0000
-49.3030 , 536 , 197.2118 , 339.6699 , 0.0000
-49.2664 , 539 , 197.0656 , 342.0347 , 0.0000
-49.0105 , 540 , 196.0419 , 344.3872 , 0.0000
-48.4621 , 540 , 193.8483 , 346.7133 , 0.0000
-47.6943 , 539 , 190.7773 , 349.0027 , 0.0000
-46.7072 , 538 , 186.8288 , 351.2446 , 0.0000
-45.5007 , 535 , 182.0029 , 353.4287 , 0.0000
-44.1114 , 531 , 176.4458 , 355.5460 , 0.0000
-42.5394 , 527 , 170.1574 , 357.5879 , 0.0000
-40.8576 , 522 , 163.4304 , 359.5491 , 0.0000
-38.9930 , 517 , 155.9722 , 361.4207 , 0.0000
-37.0188 , 511 , 148.0752 , 363.1976 , 0.0000
-34.9349 , 504 , 139.7395 , 364.8745 , 0.0000
-32.8144 , 497 , 131.2576 , 366.4496 , 0.0000
-30.6208 , 490 , 122.4832 , 367.9194 , 0.0000
-28.3906 , 482 , 113.5626 , 369.2821 , 0.0000
-26.1605 , 475 , 104.6419 , 370.5378 , 0.0000
-23.8938 , 467 , 95.5751 , 371.6847 , 0.0000
-21.6270 , 459 , 86.5082 , 372.7228 , 0.0000
-19.3603 , 451 , 77.4413 , 373.6521 , 0.0000
-17.0936 , 442 , 68.3744 , 374.4726 , 0.0000
-14.8269 , 434 , 59.3075 , 375.1843 , 0.0000
-12.5967 , 426 , 50.3869 , 375.7890 , 0.0000
-10.3666 , 417 , 41.4663 , 376.2866 , 0.0000
-8.1730 , 409 , 32.6919 , 376.6788 , 0.0000
-5.9794 , 400 , 23.9175 , 376.9658 , 0.0000
-3.8223 , 392 , 15.2893 , 377.1493 , 0.0000
-1.7018 , 384 , 6.8074 , 377.2310 , 0.0000
0.3821 , 375 , -1.5283 , 377.2127 , 0.0000
2.4294 , 367 , -9.7177 , 377.0961 , 0.0000
4.3671 , 359 , -17.4685 , 376.8865 , 0.0000
6.3048 , 351 , -25.2192 , 376.5838 , 0.0000
8.1694 , 343 , -32.6774 , 376.1917 , 0.0000
9.9974 , 335 , -39.9894 , 375.7118 , 0.0000
11.7888 , 327 , -47.1552 , 375.1459 , 0.0000
13.5437 , 320 , -54.1747 , 374.4958 , 0.0000
15.2620 , 312 , -61.0480 , 373.7633 , 0.0000
16.9438 , 305 , -67.7750 , 372.9499 , 0.0000
18.5890 , 297 , -74.3558 , 372.0577 , 0.0000
20.1976 , 290 , -80.7904 , 371.0882 , 0.0000
21.7697 , 282 , -87.0787 , 370.0433 , 0.0000
23.2321 , 275 , -92.9283 , 368.9281 , 0.0000
24.6579 , 269 , -98.6317 , 367.7445 , 0.0000
26.0106 , 262 , -104.0426 , 366.4960 , 0.0000
27.2902 , 256 , -109.1610 , 365.1860 , 0.0000
28.4602 , 249 , -113.8406 , 363.8200 , 0.0000
29.5570 , 244 , -118.2278 , 362.4012 , 0.0000
30.5806 , 238 , -122.3226 , 360.9334 , 0.0000
31.4946 , 233 , -125.9785 , 359.4216 , 0.0000
32.2990 , 228 , -129.1958 , 357.8712 , 0.0000
32.9936 , 224 , -131.9744 , 356.2875 , 0.0000
33.5786 , 220 , -134.3142 , 354.6758 , 0.0000
34.0538 , 216 , -136.2154 , 353.0412 , 0.0000
34.4194 , 213 , -137.6778 , 351.3891 , 0.0000
34.7119 , 210 , -138.8477 , 349.7229 , 0.0000
34.8947 , 208 , -139.5789 , 348.0480 , 0.0000
34.9678 , 206 , -139.8714 , 346.3695 , 0.0000
34.9678 , 204 , -139.8714 , 344.6911 , 0.0000
34.8582 , 203 , -139.4326 , 343.0179 , 0.0000
34.6388 , 202 , -138.5552 , 341.3552 , 0.0000
34.3098 , 202 , -137.2390 , 339.7084 , 0.0000
33.8710 , 202 , -135.4842 , 338.0826 , 0.0000
33.3226 , 203 , -133.2906 , 336.4830 , 0.0000
32.6646 , 204 , -130.6582 , 334.9152 , 0.0000
31.8602 , 205 , -127.4410 , 333.3859 , 0.0000
30.9828 , 207 , -123.9312 , 331.8987 , 0.0000
29.9591 , 210 , -119.8365 , 330.4606 , 0.0000
28.7892 , 213 , -115.1568 , 329.0787 , 0.0000
27.5462 , 217 , -110.1846 , 327.7565 , 0.0000
26.2300 , 221 , -104.9200 , 326.4975 , 0.0000
24.8407 , 225 , -99.3629 , 325.3052 , 0.0000
23.4149 , 230 , -93.6595 , 324.1813 , 0.0000
21.9159 , 235 , -87.6637 , 323.1293 , 0.0000
20.3073 , 240 , -81.2291 , 322.1546 , 0.0000
18.6621 , 246 , -74.6483 , 321.2587 , 0.0000
16.9438 , 252 , -67.7750 , 320.4454 , 0.0000
15.1889 , 258 , -60.7555 , 319.7164 , 0.0000
13.3609 , 265 , -53.4435 , 319.0751 , 0.0000
