theta , u , Pterm , Iterm , Dterm(100Hz)
11.4598 , 272 , -45.8390 , 318.5250 , 0.0000
9.4855 , 280 , -37.9421 , 318.0697 , 0.0000
7.4747 , 287 , -29.8989 , 317.7109 , 0.0000
5.3908 , 295 , -21.5632 , 317.4521 , 0.0000
3.2338 , 304 , -12.9350 , 317.2969 , 0.0000
1.0767 , 312 , -4.3069 , 317.2452 , 0.0000
-1.1169 , 321 , 4.4675 , 317.2988 , 0.0000
-3.3836 , 330 , 13.5344 , 317.4613 , 0.0000
-5.6503 , 340 , 22.6013 , 317.7325 , 0.0000
-7.9170 , 349 , 31.6682 , 318.1125 , 0.0000
-10.1838 , 359 , 40.7350 , 318.6013 , 0.0000
-12.4505 , 369 , 49.8019 , 319.1989 , 0.0000
-14.7172 , 378 , 58.8688 , 319.9053 , 0.0000
-16.9474 , 388 , 67.7894 , 320.7188 , 0.0000
-19.1410 , 398 , 76.5638 , 321.6376 , 0.0000
-21.2980 , 407 , 85.1920 , 322.6599 , 0.0000
-23.4185 , 417 , 93.6739 , 323.7839 , 0.0000
-25.4293 , 426 , 101.7171 , 325.0046 , 0.0000
-27.3670 , 435 , 109.4678 , 326.3182 , 0.0000
-29.2315 , 444 , 116.9261 , 327.7213 , 0.0000
-30.9864 , 453 , 123.9456 , 329.2086 , 0.0000
-32.5950 , 461 , 130.3802 , 330.7732 , 0.0000
-34.0574 , 468 , 136.2297 , 332.4079 , 0.0000
-35.3736 , 475 , 141.4944 , 334.1059 , 0.0000
-36.5070 , 481 , 146.0278 , 335.8582 , 0.0000
-37.4941 , 487 , 149.9763 , 337.6579 , 0.0000
-38.2618 , 492 , 153.0473 , 339.4945 , 0.0000
-38.8833 , 496 , 155.5334 , 341.3609 , 0.0000
-39.3221 , 500 , 157.2882 , 343.2483 , 0.0000
-39.5414 , 503 , 158.1657 , 345.1463 , 0.0000
-39.5780 , 505 , 158.3119 , 347.0461 , 0.0000
-39.4317 , 506 , 157.7270 , 348.9388 , 0.0000
-39.1393 , 507 , 156.5571 , 350.8175 , 0.0000
-38.7005 , 507 , 154.8022 , 352.6752 , 0.0000
-38.0790 , 506 , 152.3161 , 354.5029 , 0.0000
-37.2747 , 505 , 149.0989 , 356.2921 , 0.0000
-36.3607 , 503 , 145.4429 , 358.0375 , 0.0000
-35.3005 , 500 , 141.2019 , 359.7319 , 0.0000
-34.1306 , 497 , 136.5222 , 361.3702 , 0.0000
-32.8510 , 494 , 131.4038 , 362.9470 , 0.0000
-31.4982 , 490 , 125.9930 , 364.4589 , 0.0000
-30.1090 , 486 , 120.4358 , 365.9041 , 0.0000
-28.6100 , 481 , 114.4400 , 367.2774 , 0.0000
-27.0379 , 476 , 108.1517 , 368.5752 , 0.0000
-25.4293 , 471 , 101.7171 , 369.7958 , 0.0000
-23.7841 , 466 , 95.1363 , 370.9375 , 0.0000
-22.1389 , 460 , 88.5555 , 372.0001 , 0.0000
-20.4571 , 454 , 81.8285 , 372.9821 , 0.0000
-18.7388 , 448 , 74.9552 , 373.8815 , 0.0000
-17.0570 , 442 , 68.2282 , 374.7003 , 0.0000
-15.3387 , 436 , 61.3549 , 375.4365 , 0.0000
-13.5838 , 430 , 54.3354 , 376.0886 , 0.0000
-11.8655 , 424 , 47.4621 , 376.6581 , 0.0000
-10.1472 , 417 , 40.5888 , 377.1452 , 0.0000
-8.4654 , 411 , 33.8617 , 377.5515 , 0.0000
-6.8202 , 405 , 27.2810 , 377.8789 , 0.0000
-5.1385 , 398 , 20.5539 , 378.1255 , 0.0000
-3.5298 , 392 , 14.1193 , 378.2950 , 0.0000
-1.9212 , 386 , 7.6848 , 378.3872 , 0.0000
-0.3491 , 379 , 1.3965 , 378.4039 , 0.0000
1.1864 , 373 , -4.7456 , 378.3470 , 0.0000
2.6854 , 367 , -10.7414 , 378.2181 , 0.0000
4.1478 , 361 , -16.5910 , 378.0190 , 0.0000
5.5370 , 355 , -22.1482 , 377.7532 , 0.0000
6.9263 , 349 , -27.7053 , 377.4208 , 0.0000
8.2790 , 343 , -33.1162 , 377.0233 , 0.0000
9.5586 , 338 , -38.2346 , 376.5645 , 0.0000
10.8382 , 332 , -43.3530 , 376.0443 , 0.0000
12.0082 , 327 , -48.0327 , 375.4679 , 0.0000
13.2146 , 321 , -52.8586 , 374.8336 , 0.0000
14.3114 , 316 , -57.2458 , 374.1466 , 0.0000
15.3717 , 311 , -61.4867 , 373.4088 , 0.0000
16.3954 , 307 , -65.5815 , 372.6218 , 0.0000
17.3825 , 302 , -69.5299 , 371.7874 , 0.0000
18.2599 , 297 , -73.0397 , 370.9110 , 0.0000
19.1008 , 293 , -76.4032 , 369.9941 , 0.0000
19.8686 , 289 , -79.4743 , 369.0404 , 0.0000
20.5998 , 285 , -82.3991 , 368.0516 , 0.0000
21.2578 , 281 , -85.0314 , 367.0312 , 0.0000
21.8062 , 278 , -87.2250 , 365.9845 , 0.0000
22.3546 , 275 , -89.4186 , 364.9115 , 0.0000
22.7934 , 272 , -91.1735 , 363.8174 , 0.0000
23.1590 , 270 , -92.6359 , 362.7058 , 0.0000
23.4514 , 267 , -93.8058 , 361.5801 , 0.0000
23.7074 , 265 , -94.8295 , 360.4421 , 0.0000
23.8902 , 263 , -95.5607 , 359.2954 , 0.0000
24.0364 , 261 , -96.1456 , 358.1417 , 0.0000
24.1095 , 260 , -96.4381 , 356.9844 , 0.0000
24.1827 , 259 , -96.7306 , 355.8236 , 0.0000
24.1827 , 257 , -96.7306 , 354.6629 , 0.0000
24.1095 , 257 , -96.4381 , 353.5056 , 0.0000
24.0364 , 256 , -96.1456 , 352.3518 , 0.0000
23.9267 , 255 , -95.7069 , 351.2034 , 0.0000
23.7805 , 254 , -95.1220 , 350.0619 , 0.0000
23.5611 , 254 , -94.2445 , 348.9310 , 0.0000
23.3052 , 254 , -93.2208 , 347.8123 , 0.0000
23.0127 , 254 , -92.0509 , 346.7077 , 0.0000
22.6837 , 254 , -90.7348 , 345.6189 , 0.0000
22.2815 , 255 , -89.1261 , 344.5494 , 0.0000
21.8794 , 255 , -87.5175 , 343.4992 , 0.0000
21.4772 , 256 , -85.9088 , 342.4682 , 0.0000
21.0019 , 257 , -84.0077 , 341.4601 , 0.0000
20.5266 , 258 , -82.1066 , 340.4748 , 0.0000
20.0514 , 259 , -80.2055 , 339.5123 , 0.0000
19.5761 , 260 , -78.3043 , 338.5727 , 0.0000
19.0642 , 261 , -76.2570 , 337.6576 , 0.0000
18.5890 , 262 , -74.3559 , 336.7653 , 0.0000
18.0771 , 263 , -72.3085 , 335.8976 , 0.0000
17.5653 , 264 , -70.2611 , 335.0545 , 0.0000
17.0534 , 266 , -68.2138 , 334.2359 , 0.0000
16.5050 , 267 , -66.0202 , 333.4437 , 0.0000
15.9932 , 268 , -63.9728 , 332.6760 , 0.0000
15.4448 , 270 , -61.7792 , 331.9347 , 0.0000
14.8598 , 271 , -59.4394 , 331.2214 , 0.0000
14.2749 , 273 , -57.0995 , 330.5362 , 0.0000
13.6899 , 275 , -54.7597 , 329.8791 , 0.0000
13.0684 , 276 , -52.2736 , 329.2518 , 0.0000
12.4834 , 278 , -49.9338 , 328.6526 , 0.0000
11.8985 , 280 , -47.5939 , 328.0815 , 0.0000
11.2770 , 282 , -45.1078 , 327.5402 , 0.0000
10.6554 , 284 , -42.6218 , 327.0287 , 0.0000
10.0339 , 286 , -40.1357 , 326.5471 , 0.0000
9.4490 , 288 , -37.7958 , 326.0935 , 0.0000
8.8640 , 290 , -35.4560 , 325.6681 , 0.0000
8.3156 , 292 , -33.2624 , 325.2689 , 0.0000

