#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.09644  0.05694 -0.03226 -0.17327  0.000126  0.000056  0.000703
   1.10740  0.06774 -0.03413 -0.25593  0.000137  0.000061  0.000994
   1.11995  0.08017 -0.03589 -0.32973  0.000156  0.000068  0.001072
   1.13400  0.09412 -0.03750 -0.39388  0.000170  0.000075  0.001198
   1.14929  0.10935 -0.03889 -0.44914  0.000189  0.000082  0.001191
   1.16554  0.12556 -0.04004 -0.49585  0.000206  0.000090  0.001212
   1.18251  0.14250 -0.04095 -0.53556  0.000224  0.000097  0.001186
   1.19999  0.15997 -0.04162 -0.56913  0.000241  0.000104  0.001161
   1.21785  0.17782 -0.04207 -0.59787  0.000259  0.000111  0.001130
   1.23600  0.19597 -0.04234 -0.62261  0.000276  0.000118  0.001096
   1.25438  0.21435 -0.04244 -0.64407  0.000293  0.000125  0.001062
   1.27294  0.23292 -0.04239 -0.66288  0.000309  0.000132  0.001029
   1.29167  0.25164 -0.04220 -0.67957  0.000325  0.000138  0.000999
   1.31052  0.27049 -0.04191 -0.69438  0.000341  0.000145  0.000968
   1.32950  0.28946 -0.04152 -0.70774  0.000356  0.000151  0.000942
   1.34857  0.30853 -0.04105 -0.71994  0.000370  0.000157  0.000918
   1.36773  0.32768 -0.04050 -0.73113  0.000384  0.000163  0.000896
   1.38697  0.34691 -0.03990 -0.74154  0.000397  0.000168  0.000877
   1.40627  0.36620 -0.03925 -0.75137  0.000410  0.000173  0.000863
   1.42559  0.38551 -0.03856 -0.76085  0.000421  0.000178  0.000853
   1.44490  0.40480 -0.03785 -0.77089  0.000427  0.000182  0.000863
   1.46413  0.42402 -0.03708 -0.77982  0.000439  0.000187  0.000847
   1.48337  0.44324 -0.03625 -0.78774  0.000451  0.000191  0.000823
   1.50262  0.46247 -0.03537 -0.79488  0.000465  0.000196  0.000800
   1.52190  0.48173 -0.03443 -0.80165  0.000476  0.000201  0.000784
   1.54122  0.50103 -0.03344 -0.80776  0.000489  0.000206  0.000765
   1.56057  0.52035 -0.03242 -0.81373  0.000500  0.000210  0.000753
   1.57995  0.53970 -0.03135 -0.81933  0.000511  0.000214  0.000740
   1.59935  0.55907 -0.03026 -0.82476  0.000521  0.000219  0.000730
   1.61878  0.57847 -0.02913 -0.82981  0.000532  0.000223  0.000717
   1.63824  0.59788 -0.02798 -0.83482  0.000542  0.000227  0.000709
   1.65771  0.61732 -0.02681 -0.83972  0.000551  0.000231  0.000703
   1.67720  0.63677 -0.02562 -0.84435  0.000561  0.000235  0.000694
   1.69670  0.65624 -0.02441 -0.84904  0.000569  0.000239  0.000689
   1.71622  0.67572 -0.02318 -0.85357  0.000577  0.000242  0.000684
   1.73574  0.69521 -0.02195 -0.85809  0.000585  0.000246  0.000680
   1.75528  0.71470 -0.02070 -0.86263  0.000592  0.000249  0.000678
   1.77482  0.73421 -0.01944 -0.86702  0.000599  0.000252  0.000674
   1.79437  0.75371 -0.01817 -0.87165  0.000604  0.000255  0.000676
   1.81392  0.77322 -0.01689 -0.87610  0.000610  0.000258  0.000674
   1.83347  0.79273 -0.01560 -0.88068  0.000615  0.000261  0.000675
   1.85302  0.81224 -0.01431 -0.88535  0.000620  0.000263  0.000677
   1.87257  0.83174 -0.01300 -0.89010  0.000624  0.000265  0.000681
   1.89210  0.85122 -0.01169 -0.89487  0.000627  0.000268  0.000683
   1.91161  0.87069 -0.01037 -0.89993  0.000629  0.000269  0.000691
   1.93106  0.89010 -0.00905 -0.90514  0.000631  0.000271  0.000699
   1.95040  0.90939 -0.00772 -0.91063  0.000631  0.000272  0.000710
   1.96948  0.92843 -0.00639 -0.91654  0.000628  0.000273  0.000726
   1.98799  0.94689 -0.00509 -0.92260  0.000625  0.000273  0.000743
   2.00538  0.96423 -0.00386 -0.92918  0.000619  0.000272  0.000770
   2.02088  0.97969 -0.00274 -0.93673  0.000605  0.000270  0.000817
   2.03394  0.99272 -0.00179 -0.94264  0.000600  0.000269  0.000839
   2.04124  1.00000 -0.00126 -0.96579  0.000503  0.000247  0.001551
   2.04124  1.00010 -0.00001  0.96579  0.037705  0.009472  0.000000
   2.04854  1.00738 -0.00044  0.96459  0.037059  0.009543  0.000000
   2.05734  1.01618 -0.00081  0.96006  0.036098  0.009806  0.000000
   2.06795  1.02679 -0.00115  0.95342  0.034847  0.010191  0.000000
   2.08076  1.03959 -0.00143  0.94331  0.033289  0.010778  0.000000
   2.09621  1.05504 -0.00163  0.93648  0.031323  0.011173  0.000000
   2.11485  1.07368 -0.00171  0.93141  0.029041  0.011459  0.000000
   2.13734  1.09617 -0.00160  0.92831  0.026531  0.011629  0.000000
   2.16447  1.12330 -0.00122  0.92776  0.023927  0.011658  0.000000
   2.19720  1.15602 -0.00046  0.92995  0.021390  0.011550  0.000000
   2.23668  1.19548  0.00083  0.93449  0.019073  0.011340  0.000000
   2.28431  1.24306  0.00285  0.94058  0.017071  0.011077  0.000000
   2.34177  1.30045  0.00586  0.94731  0.015410  0.010805  0.000000
   2.41109  1.36963  0.01018  0.95402  0.014064  0.010550  0.000000
   2.49471  1.45303  0.01624  0.96032  0.012989  0.010324  0.000000
   2.59560  1.55357  0.02457  0.96605  0.012134  0.010128  0.000000
   2.71730  1.67475  0.03582  0.97116  0.011461  0.009959  0.000000
   2.86412  1.82080  0.05083  0.97566  0.010935  0.009816  0.000000
   3.04124  1.99682  0.07061  0.98044  0.010499  0.009669  0.000000
